number_of_games,scores,eps_history
1,-190.36899668067696,0.9568695240087989
2,-450.4301387599679,0.6486472030472881
3,-305.3027428681314,0.3102607369504751
4,-289.90771258218456,0.21032100426313238
5,-434.68895466251877,0.17006994970446757
6,-399.53691503117795,0.13533492089421717
7,-107.50491190045774,0.10856091290865486
8,-451.44765541763246,0.08299447099922024
9,-839.2848419477732,0.06071242194992032
10,-1021.8819388803005,0.04249703962923321
11,-464.20504052014076,0.033817458677766685
12,-516.4242441154299,0.026695738224524656
13,-361.63101390586615,0.01831554081344403
14,-570.6194560790407,0.014228465577759095
15,-530.0987551745661,0.011277158802547052
16,-620.9515451897273,0.00815091019948683
