number_of_games,scores,eps_history
1,-293.1820138367012,0.980159361278976
2,-529.8314116450482,0.6512522118948676
3,-330.260508495576,0.49588871389954575
4,-351.44761374652353,0.3930301369795873
5,-471.8295904421192,0.29926840261086546
6,-555.9981705025101,0.22878973744785336
7,-616.0748728561783,0.16208381281462655
8,-381.87632901512154,0.13106435084726298
9,-503.7980793024691,0.09664831816571476
10,-430.034181627212,0.07568571967336275
11,-1064.956223154612,0.052977939687187114
12,-684.4257025443188,0.03829142042821649
13,-760.5571114179102,0.027787440820805216
14,-540.2562544665223,0.021158436070560747
15,-310.6873730138494,0.017246851468890014
16,-415.84881350047897,0.014114865508586266
