number_of_games,scores,eps_history
1,-190.36899668067696,0.9568695240087989
2,-450.4301387599679,0.6486472030472881
3,-305.3027428681314,0.3102607369504751
4,-289.90771258218456,0.21032100426313238
5,-434.68895466251877,0.17006994970446757
6,-399.53691503117795,0.13533492089421717
7,-107.50491190045774,0.10856091290865486
8,-451.44765541763246,0.08299447099922024
9,-839.2848419477732,0.06071242194992032
10,-1021.8819388803005,0.04249703962923321
11,-464.20504052014076,0.033817458677766685
12,-516.4242441154299,0.026695738224524656
13,-361.63101390586615,0.01831554081344403
14,-570.6194560790407,0.014228465577759095
15,-530.0987551745661,0.011277158802547052
16,-620.9515451897273,0.00815091019948683
17,-516.2317304754338,0.0060832800956081515
18,-405.9898796142359,0.00486027412991042
19,-406.7174412392486,0.0038521429375059342
20,-961.4834873131643,0.0027180962821829603
21,-926.5139361437847,0.0019411060541484385
22,-513.3372292680046,0.001489929091725663
23,-831.683695005585,0.0010725840904719623
24,-395.84424756990416,0.0008501058003222024
25,-557.3569557457666,0.0006577648148956354
26,-711.5043053963964,0.0004754195655545331
27,-745.9355993710602,0.00035057970483115487
28,-619.214131077779,0.000236702004945299
29,-735.8112362348701,0.00017807992523106436
30,-762.2832672579466,0.0001313181285482864
31,-368.30554829351456,0.000106186577017057
32,-436.67667097195874,7.22713404709368e-05
33,-776.6706589031332,5.329369476096301e-05
34,-389.363949282111,4.361569039795615e-05
35,-773.4226918322025,3.102319462240127e-05
36,-973.0826164575423,2.215495870963225e-05
37,-861.1896676707015,1.607748151274219e-05
38,-568.6091947691069,1.2340545420649287e-05
39,-465.8412181053669,9.859554831326592e-06
40,-580.9169350447163,7.388047399216815e-06
41,-830.9325891748935,5.404531719847661e-06
42,-465.2550156092222,4.35273617690729e-06
43,-807.2088328001121,3.1713931255723636e-06
44,-463.0813014356198,2.3764158863272377e-06
45,-530.7792227462833,1.846123572405116e-06
46,-461.38214573539284,1.4808953892923166e-06
47,-839.2781510422377,1.0789768243271813e-06
48,-374.0761404420025,8.795051281430727e-07
49,-461.4149500332678,7.14042355662888e-07
50,-314.07015573251124,5.84374013761043e-07
51,-412.4861036989817,4.223741274268598e-07
52,-435.8597707609097,3.10217551862664e-07
53,-402.56095202324445,2.5388280468714426e-07
54,-480.8983480042591,1.87967891219237e-07
55,-624.8687974693055,1.4028633652955877e-07
56,-382.92510565308083,1.1389403313017146e-07
57,-864.1624381125638,8.101113897060082e-08
58,-418.18396865213737,6.62997146656018e-08
59,-506.79541301895364,5.1093853318036225e-08
60,-935.7180623389485,3.678192102844342e-08
61,-405.8806350932937,2.637299769302795e-08
62,-1042.7555166607108,1.868368777866015e-08
63,-481.0238281755571,1.4398577846340752e-08
64,-427.63664253863857,1.1550032654224407e-08
65,-442.09142612725265,9.117676498399997e-09
66,-772.9145037338327,6.511313512631433e-09
67,-315.3202483251529,5.307559436114536e-09
68,-799.2545428952441,3.8362003319876605e-09
69,-791.9173386877995,2.806271435144727e-09
70,-806.9391342842924,2.069375942198766e-09
71,-461.9128002085777,1.6335798312777183e-09
72,-499.74935805631674,1.2999380409327596e-09
73,-627.8571395934006,9.977896367317562e-10
74,-442.133295274736,8.003917476632824e-10
75,-809.8768056569793,5.949680513969337e-10
76,-878.5773130496611,4.3175832428194224e-10
77,-583.1679389221525,3.27442517550245e-10
78,-678.6602233088294,2.4733681294517244e-10
79,-662.9536682682074,1.890882031020682e-10
80,-451.0877729991977,1.5107318541385593e-10
81,-499.59330181428436,1.15958802687118e-10
82,-511.99901802451575,9.190631451503307e-11
83,-827.6230242489826,6.589772782137483e-11
84,-748.8249982814413,4.7820874534929595e-11
85,-638.7781836423075,3.540526879584134e-11
86,-450.183575464949,2.7837369962144947e-11
87,-470.30909642739374,2.2330158957484222e-11
88,-511.73293876474224,1.7698377050811153e-11
89,-555.302114717836,1.3915337644628621e-11
90,-387.5008192570712,1.111774478574224e-11
91,-424.606040766221,8.198349348174954e-12
92,-553.5681409950514,6.267611877868951e-12
93,-697.4872492245216,4.715362908929177e-12
94,-564.6245804662442,3.590460355865915e-12
95,-412.44559427114723,2.4048277692043714e-12
96,-447.4465715507748,1.8458666110848787e-12
97,-476.15326238064836,1.4455061974430686e-12
