number_of_games,scores,eps_history
1,-198.6925624642304,0.8796275632082743
2,-526.9839047184264,0.586802574203738
3,-360.5656180294131,0.3402217201099757
4,-507.51181706341237,0.239102334965524
5,-372.6252587488782,0.16536475517933022
6,-447.7100132959678,0.10100469890691807
7,-797.7197761194881,0.043531401276872016
8,-359.15546108728813,0.028692860270744993
9,-1046.0829924144314,0.014285608009798289
10,-13.53534882561786,0.010834105999563087
11,-450.6985100865797,0.008021276039127816
12,-501.249537318066,0.005547567524288113
13,-406.6760038579992,0.004173646142827605
14,-463.8748746287146,0.0026641675158392097
15,-594.1856582140697,0.0014429135357319316
16,-619.9578504657158,0.001026323028109317
17,-625.9845967050201,0.0006764804801685565
18,-710.387818278158,0.000354820542665609
19,-732.1217327097622,0.00024836470327875283
20,-643.3540217171229,0.00018462092341274634
21,-219.13824180012116,0.0001388973458210873
22,-522.6168696850532,0.00010576183070898877
23,-409.30528569835855,8.183265068060336e-05
24,-697.5289077447001,6.010293459787092e-05
25,-705.8102118130502,4.361569039795615e-05
26,-497.4343959465157,3.3077836987510545e-05
27,-469.97470399532295,2.4489926650597125e-05
28,-601.1667749225536,1.8351004887470197e-05
29,-621.0437440048015,1.3641147164434492e-05
30,-665.4073428635937,9.978822354755257e-06
31,-523.4995553518622,7.299744983866342e-06
32,-630.774609441916,5.2761131491036975e-06
33,-281.01903435803376,4.131747228992792e-06
34,-510.20026706901854,3.1713931255723636e-06
35,-398.47244531857143,2.273919937996892e-06
36,-413.570024909704,1.5726580583099398e-06
37,-630.3568925087243,1.1831704995595015e-06
38,-648.120062352034,8.937190647115334e-07
39,-406.28090423071035,6.459626903886262e-07
40,-306.4997377607143,4.7443475202367804e-07
41,-663.3091248663145,3.6270385180882375e-07
42,-659.0726351557969,2.728759092093915e-07
43,-561.5205444719097,1.9644046184243248e-07
44,-156.617557680745,1.425535445594459e-07
45,-293.56465153389445,1.1527176868691061e-07
46,-239.6342681793964,7.845478661696174e-08
47,-116.18637177470771,6.021931090056848e-08
48,-172.6211746090192,4.811258963768064e-08
49,-79.34214925484144,3.7828492852405437e-08
50,-286.51331421258396,3.0223307540414525e-08
51,-278.29893743891273,2.3479038668034438e-08
52,-498.75460755611743,1.6902309965464248e-08
53,-282.7679788588756,1.2921761955234228e-08
54,-176.84651253534565,1.0323921364269699e-08
55,-219.3814075083231,8.020159560408937e-09
56,-200.5768646369095,6.356596394053478e-09
57,-211.1270658028351,5.038093994582998e-09
58,-530.3081205503297,3.612362747275966e-09
59,-295.4203081554478,2.621430987429356e-09
60,-508.3555405784346,2.0610984384299706e-09
61,-31.209895737912902,1.3804878117376606e-09
62,-95.77029258275047,1.059616988512752e-09
63,-140.61725691897954,8.465875244837404e-10
64,4.657713172854784,6.318348394031327e-10
65,-162.18738102626233,4.387360953464563e-10
66,-48.7441708578468,3.354123428584363e-10
67,-259.75729561887596,2.745022833823565e-10
68,-235.33608172457298,2.0569243901138946e-10
69,-382.90803215623924,1.4340318131854207e-10
70,-377.0478716347039,1.070262948813858e-10
71,-148.6402215731357,7.797910143120009e-11
72,-393.5998106680822,6.155724765207131e-11
73,-365.126190328252,4.521143087613969e-11
74,-219.25122780829537,3.456399442624694e-11
75,-362.1109964967104,2.6213093564195754e-11
76,-410.63541790040955,1.9485399798919614e-11
77,-534.4122873816451,1.4484395151373492e-11
78,-114.00955018130841,1.1712383951019056e-11
79,-319.48796513900345,9.245837746734472e-12
80,-136.12674233201807,6.736495178760227e-12
81,-132.60912898407494,5.212327104018271e-12
82,-162.3541692411838,4.131172132483156e-12
83,-112.79673429529578,3.3138809637736988e-12
84,-302.6109579552941,2.424182441819861e-12
85,-149.55022063339663,1.630195932847497e-12
86,-268.8853821010116,1.1973162144785831e-12
87,-127.01123534835028,8.619351954705673e-13
88,-416.6949855242269,6.081868944894473e-13
89,-142.09874141883625,4.917926049237099e-13
90,-222.4911065302294,3.583189109270933e-13
91,-508.51200633943745,2.6957695132966573e-13
92,-217.57511252545748,1.9958740854935107e-13
93,-358.7037836821109,1.4658927534218963e-13
94,-167.55432714299917,1.1525572404812742e-13
95,-167.79504024979462,9.061973936939767e-14
96,-227.32699898412687,6.419865260174727e-14
97,-362.9186744542177,4.927677184691225e-14
98,-142.97824145677757,3.7671934607116836e-14
99,-288.1839708223623,2.9977831467850136e-14
100,-279.46603103362236,2.1929493992880758e-14
